engine,operation,target_rate,successful_per_second,p50_ms,p95_ms,p99_ms,error_count,valid_rate_controlled,notes
sqlite-direct,read_point,500,500,0.18,0.19,0.25,0,true,SQLite WAL warm
postgres-18,read_point,500,500,1.67,2.26,4.17,0,true,PostgreSQL JSONB warm
ixmati,read_point,500,500,1.15,1.85,2.49,0,true,cache-aside HTTP
sqlite-direct,read_join,1000,1000,0.69,0.75,1.04,0,true,JSON relation
postgres-18,read_join,1000,1000,1.77,2.47,7.51,0,false,client saturated
ixmati,read_join,1000,1000,0.83,1.27,1.56,0,true,materialized projection
sqlite-direct,write,20,20,0.70,0.85,2.06,0,true,serial durable transaction
postgres-18,write,20,20,6.18,7.06,21.96,0,true,synchronous_commit=on
ixmati,write,20,20,2003.43,2003.95,2006.18,0,true,60/60 committed
sqlite-direct,write,40,40,0.69,0.92,1.34,0,true,serial durable transaction
postgres-18,write,40,40,5.86,6.87,22.16,0,true,synchronous_commit=on
ixmati,write,40,39,2002.87,2003.63,2009.49,9,true,http_429 backpressure
sqlite-direct,write,60,60,0.68,0.87,1.68,0,true,serial durable transaction
postgres-18,write,60,60,5.91,6.63,20.04,0,true,synchronous_commit=on
ixmati,write,60,40,2002.31,2003.26,2018.58,180,true,http_429 backpressure
sqlite-direct,write,100,100,0.73,0.91,1.69,0,true,serial durable transaction
postgres-18,write,100,100,5.87,6.57,9.06,0,true,synchronous_commit=on
ixmati,write,100,40,2.48,2002.89,2003.93,540,true,http_429 backpressure
sqlite-direct,write,200,200,0.66,0.87,1.01,0,true,serial durable transaction
postgres-18,write,200,200,5.23,5.86,7.19,0,true,synchronous_commit=on
ixmati,write,200,40,1.51,2002.23,2005.84,1440,true,http_429 backpressure
sqlite-direct,idempotency,100,100,0.16,0.16,0.19,0,true,direct _idempotency lookup
postgres-18,idempotency,100,100,2.39,2.72,2.80,0,true,direct _idempotency lookup
ixmati,idempotency,100,100,2.47,3.47,3.90,0,true,GET write status
